tempHigh,tempAvg,VPAvg,RHAvg,groundTempAvg,temp_5,temp1_5
6.9,2.7,5.6,75.9,0.9,3.8,10.2
9.2,5,6.8,77.8,4.8,3.8,10.1
7.7,2,4.3,61.8,1.5,4.5,9.9
8.9,3.9,4.3,55,3,4.5,9.8
7.3,3.8,4.2,52.3,2.4,4.7,9.7
9.4,5.4,5.2,58.5,4.6,4.8,9.7
10.5,4.6,5.4,64.9,3,5,9.6
10.9,6.5,5.9,61.4,5.7,5.2,9.5
4.3,1.5,4.2,60.8,3.6,5.7,9.5
1.1,-3.7,2.1,45.1,-1.3,5.3,9.5
1.5,-3.8,1.8,36.4,-2.2,4.5,9.4
1,-2.2,2.3,43.1,-0.4,4.1,9.4
-1.4,-6,1.9,47.4,-3.1,3.8,9.4
-5.4,-8.4,1.1,33.3,-5.5,3.4,9.3
-0.9,-6.6,1.3,35.3,-4.2,3.1,9.2
4,-3.8,1.7,37.6,-2.8,2.9,9.1
3.4,-2,2.4,46.6,-2.3,2.7,9
2.8,-0.5,4.1,68.9,-1.6,2.7,8.8
4.7,-1.2,3,55.4,-0.9,2.5,8.7
-1.4,-4.4,3.1,70.3,-2.2,2.5,8.6
-0.9,-5.2,3.4,78.1,-3.6,2.5,8.5
-3.3,-8.3,1.7,51.3,-2.7,2.4,8.4
-4.1,-9,1.5,48.4,-4.9,2.4,8.2
-1.3,-7,1.7,49.6,-5,2.3,8.1
0.9,-5.2,2,50.6,-4.8,2.2,8
3.4,-1.3,3.8,64.4,-2.5,2.2,8
3.1,-2.6,2.5,47.3,0.6,2.2,7.9
4.3,-1.6,2,38,-1.4,2.1,7.8
2.5,0.8,4.6,71.1,0.1,2.1,7.7
-0.9,-4.8,2.7,61.4,0.1,2.2,7.6
0.2,-5.4,1.7,44.8,-1.8,2.1,7.5
0.7,-4,2,44.5,-1.6,2.1,7.5
3.3,-2.7,2.9,52.9,-1.5,2,7.4
6.7,1.5,4.4,65.4,1.8,2,7.3
3.2,0.9,4.5,69.4,-0.1,2.1,7.2
2.3,1.2,5,75.3,0.7,2,7.2
2.6,-1.7,2.7,51,1,2,7.1
3,-2,2.3,45.4,-0.5,2,7.1
0.6,-2.2,2.5,50.1,-1.3,2,7
-2.1,-5.3,1.9,47,-3.3,2,7
-2.5,-6.6,1.6,44.3,-3.1,1.9,7
0.8,-4.8,1.9,45.4,-1.7,1.8,6.8
4.2,-2.2,2.6,51.3,0.2,1.8,6.8
6.1,0.1,3.8,59.6,0.2,1.8,6.8
6.5,0.3,2.8,46,3,1.8,6.7
8,1.8,3.5,52.1,1.5,1.8,6.6
10.3,5.5,6.2,63.9,2.8,1.8,6.6
9,0.8,3.9,43.4,4.9,1.8,6.6
2.9,-2.6,2.5,49.4,0.4,1.8,6.5
5.7,2.3,4.9,68,0.3,1.7,6.5
5.4,-1.5,3.2,53.8,2.4,1.8,6.4
6.9,-0.6,2.1,37.1,1.1,1.8,6.4
2.9,1.7,4.8,70.8,0.7,1.8,6.4
2.1,-1.5,3,56.4,1.7,1.8,6.3
4.4,-0.8,2.9,51.3,1.5,1.9,6.3
8.4,2.6,4.5,63.6,3.2,2,6.3
10.1,3.6,3.9,52.8,4,2.3,6.3
10.7,3.7,2.9,37.4,4.2,2.8,6.2
13,5.6,3.6,41.5,4.8,3.3,6.2
11.4,5,5.4,65,4.7,3.8,6.3
6.6,1.8,4.1,59.5,5.7,4.3,6.3
10.4,3.3,4.3,54.4,3.8,4.4,6.3
12.7,5.7,5.2,60,5.3,4.6,6.4
10.4,5.2,6.2,71.6,5.4,4.9,6.5
4,0.1,2.5,41.3,2.9,5.2,6.6
2.9,-1.3,2,37.5,2.8,4.9,6.7
5,-0.1,3.1,50.6,1.4,4.5,6.8
10.7,3.2,3.5,47.3,3.7,4.4,6.9
12.2,4.8,3,37.4,5.3,4.5,6.9
16.7,7.3,3.7,37.4,6.9,4.8,6.9
14,8.2,6.3,58.4,9,5.5,7
12.2,6.9,4.7,49.8,8.7,6,7
10.9,5.8,3.3,37.5,7.9,6.3,7.1
13.3,6.3,3.2,34.9,8.3,6.3,7.2
13.4,6.2,3.7,41.8,8.2,6.4,7.3
15.7,7.7,4.2,43.1,9.5,6.6,7.4
16.1,9.5,3.8,34.1,11.6,7,7.5
18.9,10.9,4.3,36,12.7,7.4,7.6
15.5,10.2,4.9,40.4,10.4,7.9,7.7
12.6,7.4,4.8,48.1,8.9,7.9,7.9
14.1,7.6,3.2,32.8,11.2,7.8,8
15,9.1,3.8,34,11.8,8,8.1
15.2,8.7,4.6,41.4,11.3,8.8,8.2
12.6,8.1,4.3,41.1,9.9,8.5,8.5
11.6,7.3,5.3,53.1,11.2,8.5,8.5
10.9,6.1,6.3,67.4,7,8.7,8.6
12.7,7.1,5.7,59.8,10.1,8.4,8.7
14.4,8.8,5.9,54.9,13.2,8.5,8.8
17.1,10.6,6.1,50,13.9,8.9,8.9
12.4,8.6,7.8,70.6,8.8,9.5,9
15.1,9,6.7,60.5,14.6,9.3,9
15.8,9,5.7,53.1,13.1,9.5,9.2
19.2,11.4,5.8,45.6,15.5,9.7,9.2
21.8,14.1,5.3,35.3,17.5,10.2,9.4
14.2,12,9.2,66,11,10.9,9.5
12.4,10.4,11.3,90,11.9,11,9.6
23.5,14.5,10.8,68.1,16.6,11,9.8
19.9,13,10.9,74.5,16.5,11.9,9.8
20.5,14.8,9.5,59.6,17.4,12.4,10
23.3,16.5,4.4,25.8,19,12.7,10.1
20.2,15.3,6.5,36.8,17.2,13.1,10.3
16.4,11.5,2.8,21.8,16.3,13,10.5
19.6,12.7,7.4,54,16.5,12.6,10.7
17.7,13,8.6,57.9,12.5,12.7,10.9
24.3,16.8,10.7,59.4,18.6,12.4,11
24.4,18.7,10.9,52.9,19.7,13.4,11.1
18,14.7,10.9,78.5,13.2,14.2,11.3
17.4,11.7,10.4,76.5,11.2,13.6,11.4
18.4,12.6,5.9,43.1,15.2,12.8,11.5
18.2,12.9,6.6,45.4,13.4,13.3,11.7
19.3,13.1,8.2,56.5,15.9,13,11.8
22.5,14.8,7.4,48.4,19.9,13.2,11.8
21.7,14.9,6.2,40,19.3,13.6,12
21.3,15.1,6.4,39.4,18.3,14,12.1
20.4,16,10.3,56.8,18.4,14.3,12.2
20.2,15.1,5.7,36,21.8,14.6,12.3
19.8,13.6,6,41.8,20.2,14.7,12.4
21.5,14.4,8.9,57.3,19.1,14.8,12.5
23.7,17.1,7.8,44.3,22.1,15,12.7
27.8,19.3,12.4,57.9,24.2,15.6,12.8
28.3,20.1,10.9,50.8,25.8,16.2,12.9
28,20.7,9.7,60.1,25.4,16.9,13
30.2,21.5,8.2,34.1,27.2,17.1,13.2
27.5,21,10.6,43.6,25.4,17.6,13.4
27,20.9,13,53.4,28.4,18,13.6
19.3,14.9,5.4,32,22.3,18.3,13.8
22.8,16.6,7.4,42.6,23.6,18,14
23.5,17.9,9,43.6,21.7,18,14.2
22.6,17.1,12,62.6,19.7,18.1,14.4
20.8,16.4,12.2,73,18.4,17.7,14.6
24.8,19.3,14.4,65.3,21.6,17.6,14.7
21.1,19.1,15.8,71.6,17.6,18.1,14.8
22.6,16.4,14.3,77.8,17.2,17.6,12.8
20.7,15.7,9.8,58.3,19.9,17.1,15
20.1,16,11,61.4,20.7,17.4,15.1
22.3,17.1,11.4,60.5,22,17.6,15.2
25.9,18.6,10.6,51.5,25.8,17.7,15.2
26.9,20.4,9.8,41.9,27.2,18.4,15.2
27.9,21.1,9.9,42.6,28.9,19,15.3
27.3,20.9,10.4,44,27.8,19.5,15.4
27.6,21.5,11.8,48.1,30.6,19.8,15.6
28,21.8,13.4,53.6,29,20.3,15.7
24.4,20,15.6,68,23.6,20.6,15.9
27.8,21.8,15,60.4,27,20.2,16
24.4,19.2,12.2,45.6,25.9,20.5,16.2
23.2,17.7,8.2,41.5,26.1,20.2,16.4
26.4,19.5,9.8,46.1,28.4,20.2,16.5
27.2,21.2,12.6,50.6,28.3,20.6,16.6
29.3,22.9,16.6,61.8,29.8,21.1,16.8
30.3,23.6,11.3,43.5,31.4,21.7,16.9
29.6,23.3,13.6,49.1,30.7,21.8,17
27,23.3,14.6,51.8,31.4,22.1,17.2
25.6,20.5,8.6,37.4,29.1,22.1,17.3
26.5,20.5,10.2,44,31.2,22.2,17.5
28.1,21.7,8.9,36.9,30.3,22.3,17.6
30.3,24.2,9.4,33.3,32.8,22.5,17.8
23.9,19.4,12.7,60,21.6,23.1,18
19.2,17.6,18.3,91.4,17.8,21.8,18.2
26.1,20.1,15.3,67.3,23.1,20.8,18.2
25.7,21.2,17.3,69.8,23.8,21.4,18.3
26.4,21.5,10.8,46.8,22.4,21.5,18.4
29.6,22.8,8.8,33.8,26.8,21.5,18.3
28,22.1,11.7,45.5,27,22,18.4
25.9,21.5,15.9,63,28.7,22.3,18.5
26.8,21.8,15.9,63,30.1,22.5,18.6
29.6,23.1,16.8,62.4,30.5,22.9,18.7
