date,tempHigh,tempAvg,VPAvg,RHAvg,groundTempAvg,temp_5,temp1_5
2017-01-01,6.9,2.7,5.6,75.9,0.9,3.8,10.2
2017-01-02,9.2,5,6.8,77.8,4.8,3.8,10.1
2017-01-03,7.7,2,4.3,61.8,1.5,4.5,9.9
2017-01-04,8.9,3.9,4.3,55,3,4.5,9.8
2017-01-05,7.3,3.8,4.2,52.3,2.4,4.7,9.7
2017-01-06,9.4,5.4,5.2,58.5,4.6,4.8,9.7
2017-01-07,10.5,4.6,5.4,64.9,3,5,9.6
2017-01-08,10.9,6.5,5.9,61.4,5.7,5.2,9.5
2017-01-09,4.3,1.5,4.2,60.8,3.6,5.7,9.5
2017-01-10,1.1,-3.7,2.1,45.1,-1.3,5.3,9.5
2017-01-11,1.5,-3.8,1.8,36.4,-2.2,4.5,9.4
2017-01-12,1,-2.2,2.3,43.1,-0.4,4.1,9.4
2017-01-13,-1.4,-6,1.9,47.4,-3.1,3.8,9.4
2017-01-14,-5.4,-8.4,1.1,33.3,-5.5,3.4,9.3
2017-01-15,-0.9,-6.6,1.3,35.3,-4.2,3.1,9.2
2017-01-16,4,-3.8,1.7,37.6,-2.8,2.9,9.1
2017-01-17,3.4,-2,2.4,46.6,-2.3,2.7,9
2017-01-18,2.8,-0.5,4.1,68.9,-1.6,2.7,8.8
2017-01-19,4.7,-1.2,3,55.4,-0.9,2.5,8.7
2017-01-20,-1.4,-4.4,3.1,70.3,-2.2,2.5,8.6
2017-01-21,-0.9,-5.2,3.4,78.1,-3.6,2.5,8.5
2017-01-22,-3.3,-8.3,1.7,51.3,-2.7,2.4,8.4
2017-01-23,-4.1,-9,1.5,48.4,-4.9,2.4,8.2
2017-01-24,-1.3,-7,1.7,49.6,-5,2.3,8.1
2017-01-25,0.9,-5.2,2,50.6,-4.8,2.2,8
2017-01-26,3.4,-1.3,3.8,64.4,-2.5,2.2,8
2017-01-27,3.1,-2.6,2.5,47.3,0.6,2.2,7.9
2017-01-28,4.3,-1.6,2,38,-1.4,2.1,7.8
2017-01-29,2.5,0.8,4.6,71.1,0.1,2.1,7.7
2017-01-30,-0.9,-4.8,2.7,61.4,0.1,2.2,7.6
2017-01-31,0.2,-5.4,1.7,44.8,-1.8,2.1,7.5
2017-02-01,0.7,-4,2,44.5,-1.6,2.1,7.5
2017-02-02,3.3,-2.7,2.9,52.9,-1.5,2,7.4
2017-02-03,6.7,1.5,4.4,65.4,1.8,2,7.3
2017-02-04,3.2,0.9,4.5,69.4,-0.1,2.1,7.2
2017-02-05,2.3,1.2,5,75.3,0.7,2,7.2
2017-02-06,2.6,-1.7,2.7,51,1,2,7.1
2017-02-07,3,-2,2.3,45.4,-0.5,2,7.1
2017-02-08,0.6,-2.2,2.5,50.1,-1.3,2,7
2017-02-09,-2.1,-5.3,1.9,47,-3.3,2,7
2017-02-10,-2.5,-6.6,1.6,44.3,-3.1,1.9,7
2017-02-11,0.8,-4.8,1.9,45.4,-1.7,1.8,6.8
2017-02-12,4.2,-2.2,2.6,51.3,0.2,1.8,6.8
2017-02-13,6.1,0.1,3.8,59.6,0.2,1.8,6.8
2017-02-14,6.5,0.3,2.8,46,3,1.8,6.7
2017-02-15,8,1.8,3.5,52.1,1.5,1.8,6.6
2017-02-16,10.3,5.5,6.2,63.9,2.8,1.8,6.6
2017-02-17,9,0.8,3.9,43.4,4.9,1.8,6.6
2017-02-18,2.9,-2.6,2.5,49.4,0.4,1.8,6.5
2017-02-19,5.7,2.3,4.9,68,0.3,1.7,6.5
2017-02-20,5.4,-1.5,3.2,53.8,2.4,1.8,6.4
2017-02-21,6.9,-0.6,2.1,37.1,1.1,1.8,6.4
2017-02-22,2.9,1.7,4.8,70.8,0.7,1.8,6.4
2017-02-23,2.1,-1.5,3,56.4,1.7,1.8,6.3
2017-02-24,4.4,-0.8,2.9,51.3,1.5,1.9,6.3
2017-02-25,8.4,2.6,4.5,63.6,3.2,2,6.3
2017-02-26,10.1,3.6,3.9,52.8,4,2.3,6.3
2017-02-27,10.7,3.7,2.9,37.4,4.2,2.8,6.2
2017-02-28,13,5.6,3.6,41.5,4.8,3.3,6.2
2017-03-01,11.4,5,5.4,65,4.7,3.8,6.3
2017-03-02,6.6,1.8,4.1,59.5,5.7,4.3,6.3
2017-03-03,10.4,3.3,4.3,54.4,3.8,4.4,6.3
2017-03-04,12.7,5.7,5.2,60,5.3,4.6,6.4
2017-03-05,10.4,5.2,6.2,71.6,5.4,4.9,6.5
2017-03-06,4,0.1,2.5,41.3,2.9,5.2,6.6
2017-03-07,2.9,-1.3,2,37.5,2.8,4.9,6.7
2017-03-08,5,-0.1,3.1,50.6,1.4,4.5,6.8
2017-03-09,10.7,3.2,3.5,47.3,3.7,4.4,6.9
2017-03-10,12.2,4.8,3,37.4,5.3,4.5,6.9
2017-03-11,16.7,7.3,3.7,37.4,6.9,4.8,6.9
2017-03-12,14,8.2,6.3,58.4,9,5.5,7
2017-03-13,12.2,6.9,4.7,49.8,8.7,6,7
2017-03-14,10.9,5.8,3.3,37.5,7.9,6.3,7.1
2017-03-15,13.3,6.3,3.2,34.9,8.3,6.3,7.2
2017-03-16,13.4,6.2,3.7,41.8,8.2,6.4,7.3
2017-03-17,15.7,7.7,4.2,43.1,9.5,6.6,7.4
2017-03-18,16.1,9.5,3.8,34.1,11.6,7,7.5
