tempHigh,tempAvg,VPAvg,RHAvg,groundTempAvg,temp_5,temp1_5
24.3,21.1,19.7,79.3,21.3,22.7,21.6
28.3,24.2,22.1,74.5,24.5,22.6,21.5
30.6,25.5,16.9,63.5,28.6,23.3,21.3
29.5,24.2,18.6,63.9,28.2,24,21.2
27.6,23.8,19.9,68.6,26.7,24.4,21.2
30.9,25.6,21.5,66.6,28.5,24.5,21.2
28.1,24.1,22.5,75.5,28.3,24.7,21.2
30.4,25.5,22.9,71.9,30.5,24.6,21.3
32.9,27.5,22.9,64.6,31.9,25,21.3
28,24.5,23,75,25.2,25.4,21.4
30.2,25.8,20.5,62.6,29.7,25,21.5
26,23.5,20.6,71.9,25.3,25.1,21.5
21.7,18.7,20.3,94.8,20.1,24.5,21.6
24.3,20.3,18.7,73,22.6,23.1,21.7
28.7,23.4,17.7,63.1,26.4,23,22
29.7,25,22.1,70.9,27.4,23.6,21.9
31.6,26,23.8,72,28.3,24.2,21.9
31,26.1,24,71.6,27.9,24.8,21.8
26.6,24,24.2,81.6,22.9,25.1,21.8
26.6,23.8,25.4,86.3,23.8,24.3,21.9
30.5,25,23.9,77,25.6,24,22
25.7,23.7,26,89.3,24,24.4,22.1
22.6,21.1,23.9,95.5,21.8,24.2,22.1
26.8,22.5,20.2,74.3,21.2,22.8,23.2
29,24.3,21,69.3,23.9,22.8,23
29.6,25.4,22.3,69.3,25.6,23.3,22.7
25.5,24.3,26.1,86.4,25.2,23.9,22.6
26.4,24.4,25.7,84.8,25,24,22.4
24.8,23.7,28,95.8,23.9,24.1,22.4
29.2,25.3,27.4,85.5,26.9,24,22.7
29.6,26.2,27.7,81.9,27.2,24.5,22.6
26.9,25.3,29.2,90.9,25.7,24.9,22.6
26.4,24.9,30.3,96.3,25.2,25,22.8
26.3,25,30.4,96.3,25.1,25,23.4
29.4,27,31.6,89.3,26.9,24.9,23.9
29.1,26.5,31.8,92.1,26.7,25.2,23.7
26,24.1,27.7,92.8,24.8,25.6,24
26.1,24.3,25.6,85.3,24.8,25.2,24.2
26.1,24.2,27,89.5,24.9,25.1,24
25.8,24.9,29.9,95.4,24.3,25,23.9
29.5,26.5,31.7,91.6,26.4,24.9,24.3
27.3,24.6,28.5,92.5,25.2,25.6,24.6
31.3,27.2,27.4,83.9,28.3,25.2,24.6
30.3,28,31,82.4,27.4,25.8,24.4
28,27.1,30.9,86.1,26.3,26.1,24.3
27,26.1,32.3,96,25.9,26,24.2
30.8,27.4,29.9,82.6,27.9,26,24.7
32.2,28.2,29.4,77.9,29,26.3,24.6
31.9,26.6,27.5,76.3,29.1,26.7,24.5
31.4,27.1,27.1,76.8,28.6,26.8,24.5
31.7,27.7,27.8,76,27.6,26.9,24.5
29.2,26.6,28.9,83.1,27.6,27,24.5
27.6,24.3,26.4,87.4,25.2,26.8,24.5
29.9,25.3,24.9,78.4,27.2,26.4,24.6
32,27.8,26.5,71.6,28.6,26.4,24.8
34.5,29.9,28.8,69.5,30.5,26.7,24.7
34.5,30.2,28.8,68.3,29.3,27.2,24.7
28.6,27.1,30.2,84.6,27.2,27.3,24.7
29.7,27.3,32.2,89.1,28.1,27,24.8
29,26.8,31.7,90.1,28.7,27.1,24.8
30.6,26.8,31,88.8,28.1,27.2,25.2
30,26.4,26.6,77.9,27.2,27.3,25.4
29.5,26.6,25,72.4,27,27.2,25.4
26.4,24.3,27.6,91.3,25.3,27,25.3
25.6,22.7,22.4,82,24,26.4,25.5
27.5,23.3,17.8,63.9,23.7,25.8,25.8
27.3,23.3,18.8,66.6,23.4,25.5,25.6
24.4,21.7,20.5,80,22.7,25.3,25.4
20.6,19.2,20.8,93.5,20.1,24.9,25.3
26.5,23.4,20.2,71.5,23.1,23.7,25.4
25.3,21.1,20.7,83.4,22.2,24,25.2
27,22.8,20.5,75.8,24.4,24,25
27.1,22.4,19.3,72.6,22.7,24.2,24.8
23.2,20.2,19.7,83.8,21.5,22.9,19.2
26.6,21.5,17.8,70.4,24.1,23.6,24.6
24.9,21.3,19.9,79.3,23.5,23.7,24.5
27.7,23,21,76.4,23.9,23.6,24.4
24.9,22.5,21.7,79.9,22.2,23.9,24.3
23.6,21.3,17.5,70.3,21.5,23.8,24.2
25.8,21.5,15.5,62,22.4,23.5,24.1
26.2,21.2,14.3,59.3,21.8,22.9,22.6
24.9,19.7,12.8,57.6,21.2,22.7,24
25.3,19.1,12,56.1,20.6,22.4,23.9
25.6,20.2,12.7,55.3,21.8,22.1,23.9
23.8,19.2,13.3,59.9,20.8,22.1,23.8
25.4,20.6,14.4,59.6,22,22.5,23.7
25.4,20.1,14.9,64.1,21.5,22.6,23.6
24.8,19.3,13.7,62.5,20.4,22.4,23.5
25.8,20.4,14.8,63.3,21.4,22.2,23.4
26.5,20.7,15.7,66,22,22.2,23.4
23.9,19.6,15.1,67.6,20.7,22.3,23.3
25.7,19.6,17.4,78,21.1,22.2,23.2
23.6,18.8,16.1,74.9,19.6,21.5,23.1
21.9,19.2,17.7,79.6,18.5,21.4,23.1
23.2,19.9,16.7,72.5,19.8,21.3,23
21.8,16.6,12.4,65.1,17.8,21.4,22.9
18.4,13.3,8.6,57.3,14.5,20.9,22.8
19.7,14.2,8.7,55.9,14.6,20.1,22.7
22,16,8.5,48.9,14.9,19.7,22.6
23.1,17.2,10.1,53,15.9,19.5,22.5
23.3,17.2,10.4,53.4,16.6,19.5,21.5
21.5,16.9,11.3,60.1,16.6,19.5,22.2
20.8,16.9,13,68.5,16.1,19.5,22.1
21.3,16.2,12.5,68.6,16.8,19.4,22
18.4,13.6,7.9,52.3,14.2,19.3,21.8
18,12.8,6.9,47,14.3,18.8,21.8
18.5,11.7,5.7,41.8,13.1,18.6,21.6
15.4,11.8,8.9,64.3,12.5,17.9,21.5
18.6,13.1,9.2,64.3,13.1,17.5,21.4
20.2,13.6,10,65.5,12.9,17.4,21.2
21.3,15.1,12.4,74.4,14.3,17.3,21.1
21.7,15.2,11.2,67.1,14.5,17.5,20.9
17.3,14.1,11.1,69.4,13.7,17.5,20.8
18.2,13.5,10.2,66,15,17.3,20.7
13.3,8.6,5.6,51.5,10.7,17.2,20.5
14,8.7,5.3,47.6,9.4,16.5,20.4
18.2,11.8,8.3,62.5,10.9,15.9,20.3
19,12.9,10.3,71.6,11.9,15.8,20.2
19.4,14,11.6,74.1,13.2,15.9,20
18.2,13.8,8.2,52.1,13.8,16.2,20
16.1,10.8,5.1,40.3,11.5,16.2,19.7
19.6,11.9,5.8,42.9,11.2,15.7,19.6
18.2,13.6,9.3,60.3,12.9,15.5,19.5
15,13.7,13.2,84.3,13.1,15.7,19.4
15.6,10.8,7.1,58.3,10,15.5,19.3
8.6,5.1,4.1,47.5,6.1,15,19.2
10.8,4.9,3.7,43.9,5.2,13.8,19.1
15.9,9.6,7.3,61.5,10.5,13,18.9
17.2,13.5,9.8,63.3,12.5,13.2,18.7
18.1,14.6,11.2,68.8,14.6,13.8,18.6
12.4,8.5,5,43.8,9.9,14.2,18.4
8.9,5.5,3.7,40.9,5.6,13.8,18.2
12.9,7.7,5.8,56.1,7.9,12.7,18.1
16.5,9.3,6.1,53.5,8.7,12.4,18
17.7,10.4,6.9,56.9,9.2,12.3,17.8
17.6,12.2,10,71.5,12.1,12.4,17.6
19.3,12.5,9.2,66.9,10.9,12.7,17.5
14.9,11.1,9.8,75,10.2,12.8,17.3
18.3,12.4,9.8,70.1,10.9,12.8,17.2
20,15.9,12.2,67.5,13,12.9,17.1
18.7,16.6,17.2,91.4,15.3,13.6,17
19.1,13.6,14.9,90.5,14.6,14.6,16.9
7,5,5.6,74.3,6.2,14.7,16.3
12.8,6.5,6.6,67.9,6.5,12.8,16.4
9.1,5.6,7.4,80.5,7.3,12.3,16.5
5.9,1.7,4.2,61.4,2.9,11.5,16.5
6.4,2.9,4.1,54.5,3.5,10.6,16.4
9.5,4.6,5.4,64.1,3.5,9.9,16.3
10.9,5.6,5.9,66.5,4.4,9.7,16.1
7.7,4.1,5,61.6,4.9,9.6,15.9
2.8,-0.1,3,50,1.2,9.3,15.7
2.6,-0.6,3.5,59.6,0.7,8.5,15.5
4.3,-0.2,3.4,57.8,0.4,7.9,15.3
6.7,1.1,2.8,44.5,0.3,7.4,15.1
6.1,2.4,3,41.4,2.2,7.1,14.8
4.2,0.7,3,47.1,1.2,7,14.6
4.4,-0.6,3,53.8,-0.3,6.7,14.3
6.6,2.1,4.5,63.1,0.5,6.3,14.1
9.1,4.5,5.6,66.9,2.1,6.2,13.9
6.3,3.4,4.5,57.5,3.1,6.5,13.7
4.1,0.2,2.9,50,0.1,6.5,13.4
6.2,1.5,3.8,55.1,-0.3,6,13.3
9.3,5.8,6.5,69.9,3.9,5.8,13.1
9.4,5.3,6.8,77.1,3.3,6.3,12.9
6.1,2.3,3.6,51.3,1.8,6.5,12.7
2,-1.1,4.4,74.9,0.5,6.2,12.6
-5,-7.7,1.7,49.1,-1.9,5.7,12.5
-4.6,-8.3,1.4,43,-3.7,5.1,12.3
-3.9,-8.3,1.4,43.9,-4.3,4.5,12.2
0.8,-4.9,2,47,-3.7,4.2,12
1.8,-2.1,3,57,-1.3,4,11.9
-1.2,-5.1,1.9,45.1,-3.5,3.7,11.7
1.1,-3.7,2.3,50.4,-3.3,3.6,11.5
4.7,-1,3.6,64.1,-2.4,3.4,11.3
7.2,2,4.7,67.6,-0.4,3.3,11.1
8.5,4.5,6.5,76.6,0.4,3.2,10.9
6.1,2.6,4.6,61.5,0.7,3.2,10.8
3.5,-0.8,3,51.9,-1.4,3.1,10.6
8,2.2,4.7,65.8,-0.6,3.1,10.4
10,5.8,5.8,62.9,1.4,3.1,10.3
11.4,6.7,6.9,72.1,2.7,3.3,10.1
4.3,0.1,4.6,70.8,-0.1,4,10
-6.2,-10.9,1.5,55.5,-4.4,3.7,9.9
-5,-8.9,1.7,53.9,-5,3.2,9.8
